,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation
660,0,1.32,Train,0.4837687909603119,-0.4840813875198364,201744.515625,-596693.5625
661,0,1.32,Test,0.49236488342285156,-0.4970337152481079,206312.875,-599939.8125
662,1,1.32,Train,0.48193785548210144,-0.4965304732322693,52696.05859375,-154729.96875
663,1,1.32,Test,0.47367891669273376,-0.4908595681190491,52584.53515625,-152318.3125
664,2,1.32,Train,0.4793646037578583,-0.4876519441604614,53116.56640625,-154031.359375
665,2,1.32,Test,0.4695599675178528,-0.5152308940887451,51382.1640625,-155451.140625
666,3,1.32,Train,0.48050278425216675,-0.49278444051742554,52943.421875,-155351.734375
667,3,1.32,Test,0.48111310601234436,-0.49656975269317627,53126.2578125,-156075.015625
668,4,1.32,Train,0.4905482828617096,-0.5002591013908386,101754.3125,-302925.4375
669,4,1.32,Test,0.4771950840950012,-0.4671289920806885,105483.53125,-299837.40625
670,0,1.34,Train,0.48005738854408264,-0.48756641149520874,215901.15625,-635724.4375
671,0,1.34,Test,0.48995378613471985,-0.4980365037918091,220712.734375,-639162.8125
672,1,1.34,Train,0.4797604978084564,-0.4980698525905609,55099.0859375,-161339.109375
673,1,1.34,Test,0.4723729193210602,-0.4918293356895447,54987.359375,-158811.015625
674,2,1.34,Train,0.4793646037578583,-0.4876519441604614,53116.57421875,-154031.359375
675,2,1.34,Test,0.4695599675178528,-0.5152308940887451,51382.17578125,-155451.140625
676,3,1.34,Train,0.48050278425216675,-0.49278444051742554,52943.42578125,-155351.71875
677,3,1.34,Test,0.48111310601234436,-0.49656975269317627,53126.26171875,-156075.015625
678,4,1.34,Train,0.4869358539581299,-0.5028973817825317,108866.953125,-322682.4375
679,4,1.34,Test,0.4737793803215027,-0.4726353883743286,112859.8046875,-319383.59375
680,0,1.36,Train,0.48005738854408264,-0.48756641149520874,215901.15625,-635724.4375
681,0,1.36,Test,0.48995378613471985,-0.4980365037918091,220712.734375,-639162.8125
682,1,1.36,Train,0.4797604978084564,-0.4980698525905609,55099.08984375,-161339.140625
683,1,1.36,Test,0.4723729193210602,-0.4918293356895447,54987.3671875,-158811.03125
684,2,1.36,Train,0.4771377742290497,-0.49053436517715454,55509.1875,-160511.125
685,2,1.36,Test,0.46714887022972107,-0.5168934464454651,53699.734375,-162007.21875
686,3,1.36,Train,0.4785233438014984,-0.49441125988960266,55323.921875,-161862.578125
687,3,1.36,Test,0.4786015748977661,-0.49742794036865234,55514.5234375,-162624.796875
688,4,1.36,Train,0.48589667677879333,-0.5026635527610779,111232.6484375,-329264.125
689,4,1.36,Test,0.4730761647224426,-0.4723389148712158,115314.1640625,-325895.28125
690,0,1.3800000000000001,Train,0.4775831401348114,-0.48983919620513916,225390.71875,-661783.625
691,0,1.3800000000000001,Test,0.486939936876297,-0.4995634853839874,230357.640625,-665353.125
692,1,1.3800000000000001,Train,0.47738519310951233,-0.49863845109939575,57502.26953125,-167948.703125
693,1,1.3800000000000001,Test,0.46895721554756165,-0.49287545680999756,57390.6640625,-165306.4375
694,2,1.3800000000000001,Train,0.4771377742290497,-0.49053436517715454,55509.1953125,-160511.140625
695,2,1.3800000000000001,Test,0.46714887022972107,-0.5168934464454651,53699.7421875,-162007.234375
696,3,1.3800000000000001,Train,0.4785233438014984,-0.49441125988960266,55323.92578125,-161862.59375
697,3,1.3800000000000001,Test,0.4786015748977661,-0.49742794036865234,55514.52734375,-162624.78125
698,4,1.3800000000000001,Train,0.48589667677879333,-0.5026635527610779,111232.65625,-329264.125
699,4,1.3800000000000001,Test,0.4730761647224426,-0.4723389148712158,115314.1640625,-325895.28125
700,0,1.4000000000000001,Train,0.4775831401348114,-0.48983919620513916,225390.71875,-661783.625
701,0,1.4000000000000001,Test,0.486939936876297,-0.4995634853839874,230357.640625,-665353.125
702,1,1.4000000000000001,Train,0.47738519310951233,-0.49863845109939575,57502.28515625,-167948.703125
703,1,1.4000000000000001,Test,0.46895721554756165,-0.49287545680999756,57390.671875,-165306.453125
704,2,1.4000000000000001,Train,0.4746140241622925,-0.4910792112350464,57901.67578125,-166992.0625
705,2,1.4000000000000001,Test,0.46513962745666504,-0.5164454579353333,56017.3359375,-168564.046875
706,3,1.4000000000000001,Train,0.4761480689048767,-0.4951332211494446,57698.55859375,-168369.875
707,3,1.4000000000000001,Test,0.4761904776096344,-0.4963095486164093,57896.98046875,-169172.328125
708,4,1.4000000000000001,Train,0.48589667677879333,-0.5026635527610779,111232.671875,-329264.125
709,4,1.4000000000000001,Test,0.4730761647224426,-0.4723389148712158,115314.1640625,-325895.25
710,0,1.42,Train,0.47515836358070374,-0.49032044410705566,234878.375,-687840.8125
711,0,1.42,Test,0.4840265214443207,-0.5014125108718872,240000.875,-691546.625
712,1,1.42,Train,0.47738519310951233,-0.49863845109939575,57502.296875,-167948.734375
713,1,1.42,Test,0.46895721554756165,-0.49287545680999756,57390.703125,-165306.453125
714,2,1.42,Train,0.4746140241622925,-0.4910792112350464,57901.68359375,-166992.0625
715,2,1.42,Test,0.46513962745666504,-0.5164454579353333,56017.33984375,-168564.03125
716,3,1.42,Train,0.4761480689048767,-0.4951332211494446,57698.56640625,-168369.875
